"","mid","ml","approxDepth","pathFamily","assertionOrientation","assertedPredicate","versionedIcd","iplstr"
"1","MONDO:0002806","bronchogenic carcinoma",23,"mondo->icd","forward","mydata:mdbxr","ICD9CM:162.9","Malignant neoplasm of bronchus and lung, unspecified"
"2","MONDO:0005097","squamous cell lung carcinoma",22,"mondo->icd","forward","mydata:mdbxr","ICD9CM:162.9","Malignant neoplasm of bronchus and lung, unspecified"
"3","MONDO:0005933","pulmonary blastoma",29,"mondo->icd","forward","mydata:mdbxr","ICD9CM:162.9","Malignant neoplasm of bronchus and lung, unspecified"
"4","MONDO:0006275","lung giant cell carcinoma",26,"mondo->icd","forward","mydata:mdbxr","ICD9CM:162.9","Malignant neoplasm of bronchus and lung, unspecified"
"5","MONDO:0003436","lung oat cell carcinoma",29,"mondo->icd","forward","mydata:mdbxr","ICD9CM:162.9","Malignant neoplasm of bronchus and lung, unspecified"
"6","MONDO:0004973","adenosquamous lung carcinoma",26,"mondo->icd","forward","mydata:mdbxr","ICD9CM:162.9","Malignant neoplasm of bronchus and lung, unspecified"
"7","MONDO:0003050","lung large cell carcinoma",22,"mondo->icd","forward","mydata:mdbxr","ICD9CM:162.9","Malignant neoplasm of bronchus and lung, unspecified"
"8","MONDO:0004660","lung carcinoma in situ",23,"mondo->icd","forward","mydata:mdbxr","ICD9CM:231.2","Carcinoma in situ of bronchus and lung"
"9","MONDO:0011014","pleuropulmonary blastoma",32,"mondo->icd","forward","mydata:mdbxr","ICD9CM:162.9","Malignant neoplasm of bronchus and lung, unspecified"
"10","MONDO:0003181","lung adenoid cystic carcinoma",25,"mondo->icd","forward","mydata:mdbxr","ICD9CM:162.9","Malignant neoplasm of bronchus and lung, unspecified"
"11","MONDO:0006049","papillary lung adenocarcinoma",27,"mondo->icd","forward","mydata:mdbxr","ICD9CM:162.9","Malignant neoplasm of bronchus and lung, unspecified"
"13","MONDO:0020555","pleuropulmonary blastoma type 1",33,"mondo->icd","forward","mydata:mdbxr","ICD9CM:162.9","Malignant neoplasm of bronchus and lung, unspecified"
"14","MONDO:0020556","pleuropulmonary blastoma type 2",33,"mondo->icd","forward","mydata:mdbxr","ICD9CM:162.9","Malignant neoplasm of bronchus and lung, unspecified"
"15","MONDO:0020557","pleuropulmonary blastoma type 3",33,"mondo->icd","forward","mydata:mdbxr","ICD9CM:162.9","Malignant neoplasm of bronchus and lung, unspecified"
"16","MONDO:0008433","small cell lung carcinoma",28,"mondo->icd","forward","mydata:mdbxr","ICD9CM:162.9","Malignant neoplasm of bronchus and lung, unspecified"
"18","MONDO:0006281","lung signet ring cell carcinoma",25,"mondo->icd","forward","mydata:mdbxr","ICD9CM:162.9","Malignant neoplasm of bronchus and lung, unspecified"
"23","MONDO:0008903","lung cancer",16,"mondo->icd","forward","mydata:mdbxr","ICD9CM:162.9","Malignant neoplasm of bronchus and lung, unspecified"
"24","MONDO:0004991","minimally invasive lung adenocarcinoma",24,"mondo->icd","forward","mydata:mdbxr","ICD9CM:162.9","Malignant neoplasm of bronchus and lung, unspecified"
"25","MONDO:0006279","lung sarcomatoid carcinoma",25,"mondo->icd","forward","mydata:mdbxr","ICD9CM:162.9","Malignant neoplasm of bronchus and lung, unspecified"
"26","MONDO:0005233","non-small cell lung carcinoma (disease)",20,"mondo->icd","forward","mydata:mdbxr","ICD10CM:C34.12","Malignant neoplasm of upper lobe, left bronchus or lung"
"27","MONDO:0005233","non-small cell lung carcinoma (disease)",20,"mondo->icd","forward","mydata:mdbxr","ICD10CM:C34.1","Malignant neoplasm of upper lobe, bronchus or lung"
"28","MONDO:0005233","non-small cell lung carcinoma (disease)",20,"mondo->icd","forward","mydata:mdbxr","ICD10CM:C34.10","Malignant neoplasm of upper lobe, unspecified bronchus or lung"
"29","MONDO:0005233","non-small cell lung carcinoma (disease)",20,"mondo->icd","forward","mydata:mdbxr","ICD10CM:C34.11","Malignant neoplasm of upper lobe, right bronchus or lung"
"34","MONDO:0005233","non-small cell lung carcinoma (disease)",20,"mondo->icd","forward","mydata:mdbxr","ICD10CM:C34.32","Malignant neoplasm of lower lobe, left bronchus or lung"
"35","MONDO:0005233","non-small cell lung carcinoma (disease)",20,"mondo->icd","forward","mydata:mdbxr","ICD10CM:C34.3","Malignant neoplasm of lower lobe, bronchus or lung"
"36","MONDO:0005233","non-small cell lung carcinoma (disease)",20,"mondo->icd","forward","mydata:mdbxr","ICD10CM:C34.30","Malignant neoplasm of lower lobe, unspecified bronchus or lung"
"37","MONDO:0005233","non-small cell lung carcinoma (disease)",20,"mondo->icd","forward","mydata:mdbxr","ICD10CM:C34.31","Malignant neoplasm of lower lobe, right bronchus or lung"
"38","MONDO:0005233","non-small cell lung carcinoma (disease)",20,"mondo->icd","forward","mydata:mdbxr","ICD10CM:C34.2","Malignant neoplasm of middle lobe, bronchus or lung"
"40","MONDO:0005233","non-small cell lung carcinoma (disease)",20,"mondo->icd","forward","mydata:mdbxr","ICD10CM:C34.9","Malignant neoplasm of unspecified part of bronchus or lung"
"41","MONDO:0005233","non-small cell lung carcinoma (disease)",20,"mondo->icd","forward","mydata:mdbxr","ICD10CM:C34.8","Malignant neoplasm of overlapping sites of bronchus and lung"
"42","MONDO:0005233","non-small cell lung carcinoma (disease)",20,"mondo->icd","forward","mydata:mdbxr","ICD10CM:C34.91","Malignant neoplasm of unspecified part of right bronchus or lung"
"43","MONDO:0005233","non-small cell lung carcinoma (disease)",20,"mondo->icd","forward","mydata:mdbxr","ICD10CM:C34.90","Malignant neoplasm of unspecified part of unspecified bronchus or lung"
"44","MONDO:0005233","non-small cell lung carcinoma (disease)",20,"mondo->icd","forward","mydata:mdbxr","ICD10CM:C34.92","Malignant neoplasm of unspecified part of left bronchus or lung"
"45","MONDO:0011014","pleuropulmonary blastoma",32,"mondo->icd","forward","mydata:mdbxr","ICD10CM:C34.3","Malignant neoplasm of lower lobe, bronchus or lung"
"46","MONDO:0005233","non-small cell lung carcinoma (disease)",20,"mondo->icd","forward","mydata:mdbxr","ICD10CM:C34.82","Malignant neoplasm of overlapping sites of left bronchus and lung"
"47","MONDO:0005233","non-small cell lung carcinoma (disease)",20,"mondo->icd","forward","mydata:mdbxr","ICD10CM:C34.80","Malignant neoplasm of overlapping sites of unspecified bronchus and lung"
"48","MONDO:0005233","non-small cell lung carcinoma (disease)",20,"mondo->icd","forward","mydata:mdbxr","ICD10CM:C34.81","Malignant neoplasm of overlapping sites of right bronchus and lung"
"49","MONDO:0005933","pulmonary blastoma",29,"mondo->icd","forward","mydata:mdbxr","ICD10CM:C34.12","Malignant neoplasm of upper lobe, left bronchus or lung"
"50","MONDO:0005933","pulmonary blastoma",29,"mondo->icd","forward","mydata:mdbxr","ICD10CM:C34.1","Malignant neoplasm of upper lobe, bronchus or lung"
"51","MONDO:0005933","pulmonary blastoma",29,"mondo->icd","forward","mydata:mdbxr","ICD10CM:C34.10","Malignant neoplasm of upper lobe, unspecified bronchus or lung"
"52","MONDO:0005933","pulmonary blastoma",29,"mondo->icd","forward","mydata:mdbxr","ICD10CM:C34.11","Malignant neoplasm of upper lobe, right bronchus or lung"
"53","MONDO:0005933","pulmonary blastoma",29,"mondo->icd","forward","mydata:mdbxr","ICD10CM:C34.32","Malignant neoplasm of lower lobe, left bronchus or lung"
"54","MONDO:0005933","pulmonary blastoma",29,"mondo->icd","forward","mydata:mdbxr","ICD10CM:C34.3","Malignant neoplasm of lower lobe, bronchus or lung"
"55","MONDO:0005933","pulmonary blastoma",29,"mondo->icd","forward","mydata:mdbxr","ICD10CM:C34.30","Malignant neoplasm of lower lobe, unspecified bronchus or lung"
"56","MONDO:0005933","pulmonary blastoma",29,"mondo->icd","forward","mydata:mdbxr","ICD10CM:C34.31","Malignant neoplasm of lower lobe, right bronchus or lung"
"57","MONDO:0005933","pulmonary blastoma",29,"mondo->icd","forward","mydata:mdbxr","ICD10CM:C34.2","Malignant neoplasm of middle lobe, bronchus or lung"
"58","MONDO:0005933","pulmonary blastoma",29,"mondo->icd","forward","mydata:mdbxr","ICD10CM:C34.9","Malignant neoplasm of unspecified part of bronchus or lung"
"59","MONDO:0005933","pulmonary blastoma",29,"mondo->icd","forward","mydata:mdbxr","ICD10CM:C34.91","Malignant neoplasm of unspecified part of right bronchus or lung"
"60","MONDO:0005933","pulmonary blastoma",29,"mondo->icd","forward","mydata:mdbxr","ICD10CM:C34.90","Malignant neoplasm of unspecified part of unspecified bronchus or lung"
"61","MONDO:0005933","pulmonary blastoma",29,"mondo->icd","forward","mydata:mdbxr","ICD10CM:C34.92","Malignant neoplasm of unspecified part of left bronchus or lung"
"62","MONDO:0005933","pulmonary blastoma",29,"mondo->icd","forward","mydata:mdbxr","ICD10CM:C34.8","Malignant neoplasm of overlapping sites of bronchus and lung"
"63","MONDO:0005933","pulmonary blastoma",29,"mondo->icd","forward","mydata:mdbxr","ICD10CM:C34.82","Malignant neoplasm of overlapping sites of left bronchus and lung"
"64","MONDO:0005933","pulmonary blastoma",29,"mondo->icd","forward","mydata:mdbxr","ICD10CM:C34.80","Malignant neoplasm of overlapping sites of unspecified bronchus and lung"
"65","MONDO:0005933","pulmonary blastoma",29,"mondo->icd","forward","mydata:mdbxr","ICD10CM:C34.81","Malignant neoplasm of overlapping sites of right bronchus and lung"
"66","MONDO:0005138","lung carcinoma",19,"mondo->icd","forward","mydata:mdbxr","ICD10CM:C34.90","Malignant neoplasm of unspecified part of unspecified bronchus or lung"
"67","MONDO:0004660","lung carcinoma in situ",23,"mondo->icd","forward","mydata:mdbxr","ICD10CM:D02.20","Carcinoma in situ of unspecified bronchus and lung"
"68","MONDO:0004660","lung carcinoma in situ",23,"mondo->icd","forward","mydata:mdbxr","ICD10CM:D02.2","Carcinoma in situ of bronchus and lung"
"69","MONDO:0004660","lung carcinoma in situ",23,"mondo->icd","forward","mydata:mdbxr","ICD10CM:D02.21","Carcinoma in situ of right bronchus and lung"
"70","MONDO:0004660","lung carcinoma in situ",23,"mondo->icd","forward","mydata:mdbxr","ICD10CM:D02.22","Carcinoma in situ of left bronchus and lung"
"71","MONDO:0017292","well-differentiated fetal adenocarcinoma of the lung",26,"mondo->icd","forward","mydata:mdbxr","ICD10CM:C34.12","Malignant neoplasm of upper lobe, left bronchus or lung"
"72","MONDO:0017292","well-differentiated fetal adenocarcinoma of the lung",26,"mondo->icd","forward","mydata:mdbxr","ICD10CM:C34.1","Malignant neoplasm of upper lobe, bronchus or lung"
"73","MONDO:0017292","well-differentiated fetal adenocarcinoma of the lung",26,"mondo->icd","forward","mydata:mdbxr","ICD10CM:C34.10","Malignant neoplasm of upper lobe, unspecified bronchus or lung"
"74","MONDO:0017292","well-differentiated fetal adenocarcinoma of the lung",26,"mondo->icd","forward","mydata:mdbxr","ICD10CM:C34.11","Malignant neoplasm of upper lobe, right bronchus or lung"
"75","MONDO:0017292","well-differentiated fetal adenocarcinoma of the lung",26,"mondo->icd","forward","mydata:mdbxr","ICD10CM:C34.32","Malignant neoplasm of lower lobe, left bronchus or lung"
"76","MONDO:0017292","well-differentiated fetal adenocarcinoma of the lung",26,"mondo->icd","forward","mydata:mdbxr","ICD10CM:C34.3","Malignant neoplasm of lower lobe, bronchus or lung"
"77","MONDO:0017292","well-differentiated fetal adenocarcinoma of the lung",26,"mondo->icd","forward","mydata:mdbxr","ICD10CM:C34.30","Malignant neoplasm of lower lobe, unspecified bronchus or lung"
"78","MONDO:0017292","well-differentiated fetal adenocarcinoma of the lung",26,"mondo->icd","forward","mydata:mdbxr","ICD10CM:C34.31","Malignant neoplasm of lower lobe, right bronchus or lung"
"79","MONDO:0017292","well-differentiated fetal adenocarcinoma of the lung",26,"mondo->icd","forward","mydata:mdbxr","ICD10CM:C34.2","Malignant neoplasm of middle lobe, bronchus or lung"
"80","MONDO:0017292","well-differentiated fetal adenocarcinoma of the lung",26,"mondo->icd","forward","mydata:mdbxr","ICD10CM:C34.8","Malignant neoplasm of overlapping sites of bronchus and lung"
"81","MONDO:0017292","well-differentiated fetal adenocarcinoma of the lung",26,"mondo->icd","forward","mydata:mdbxr","ICD10CM:C34.82","Malignant neoplasm of overlapping sites of left bronchus and lung"
